REYNO,PHYLUM,CLASE,ORDEN,FAMILIA,GENERO,NOMESPECIE,NOMCOMUN
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,diadema,ATUN DE OJO GRANDE
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,decipiens,ATUN DE ALETA LARGA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,debilis,ATUN DE ALETA AZUL
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,dadayi,ATUN ALETA AMARILLA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,danicus,ANGUILA GELATINOSA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,curvisetus,ANGUILA BUCHONA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,costatus,ACORAZADO
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,COSCINODISCACEAE,AZPEITIA,nodulifera,ANCHOA FINA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,COSCINODISCACEAE,COSCINODISCUS,wailesii,ANGUILA DIENTES DE SERRUC
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,COSCINODISCACEAE,COSCINODISCUS,radiatus,"BURRITO, RONCADOR DE MAN"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,COSCINODISCACEAE,COSCINODISCUS,perforatus,"BULDOG, ASTROLOGO"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,COSCINODISCACEAE,COSCINODISCUS,oculus iridis,"BORRACHO, SUE?O"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,COSCINODISCACEAE,COSCINODISCUS,marginatus,"BLANQUILLO, CABEZON, BLAN,"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,COSCINODISCACEAE,COSCINODISCUS,lineatus,"AYAMARCA, CHAMACHE"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,COSCINODISCACEAE,COSCINODISCUS,granii,"CABALLA, VERLE"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,COSCINODISCACEAE,COSCINODISCUS,curvatulus,ANCHOVETA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,COSCINODISCACEAE,COSCINODISCUS,concinnus,ANCHOA PLATEADA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,COSCINODISCACEAE,COSCINODISCUS,centralis,ANCHOA OJITOS
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,COSCINODISCACEAE,COSCINODISCUS,asteromphalus,ANCHOA NARANJA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,EUPODISCACEAE,ODONTELLA,rhombus,"ANGUILA TIGRE, CULEBRA MAR"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,EUPODISCACEAE,ODONTELLA,mobiliensis,ANGUILA PUNTEADA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,EUPODISCACEAE,ODONTELLA,longicruris,"ANGUILA PICO DE PATO, ANGU"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,EUPODISCACEAE,ODONTELLA,aurita,ANGUILA DIENTES DE SERRUC
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,EUPODISCACEAE,ODONTELLA,sinensis,"ANGUILA TIJERA, ANGUILA ZA"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,HELIOPELTACEAE,ACTINOPTYCHUS,splendens,ARGENTINA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,HELIOPELTACEAE,ACTINOPTYCHUS,senarius,ANGUILA ZANCUDA COMUN
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,HEMIDISCACEAE,ACTINOCYCLUS,octonarius,ANCHOA NEGRA LUMINOSA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,HEMIDISCACEAE,HEMIDISCUS,cuneiformis,BAGRE
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,HEMIDISCACEAE,ROPERIA,tesellata,BAGRE
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,LEPTOCYLINDRACEAE,CORETHRON,hystrix,"BARRACUDINA, VIGILANTE"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,LEPTOCYLINDRACEAE,LEPTOCYLINDRUS,minimus,BREGMACERO
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,LEPTOCYLINDRACEAE,LEPTOCYLINDRUS,mediterraneus,"BOCON, TAMBORETA"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,LITHODESMIACEAE,DITYLUM,brightwellii,BROTULA DE AGUAS PROFUND
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,LITHODESMIACEAE,HELICOTHECA,tamesis,"BROTULA NEGRA, BROTULA DE"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,LITHODESMIACEAE,LITHODESMIUM,undulatum,"BROTULA NEGRA, CONGRIO NE"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,MELOSIRACEAE,MELOSIRA,moniliformis,"BRUJA DEL PACIFICO, FRAILE ,"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,MELOSIRACEAE,PARALIA,sulcata,"BRUJO, SAPO BRUJO"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,MELOSIRACEAE,STEPHANOPYXIS,turris,"ANGELOTE, PEZ ANGEL"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,MELOSIRACEAE,STEPHANOPYXIS,palmeriana,ANGELOTE
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,RHIZOSOLENIACEAE,DACTYLIOSOLEN,fragillissimus,BATEA VIOLACEA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,RHIZOSOLENIACEAE,GUINARDIA,striata,"TOLLO BLANCO, TOLLO"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,RHIZOSOLENIACEAE,GUINARDIA,flaccida,"TIBURON DE ALETA, TIBURON"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,RHIZOSOLENIACEAE,GUINARDIA,delicatula,"PINTARROJA, TOLLO MANCHA,"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,RHIZOSOLENIACEAE,PROBOSCIA,alata,"TOLLO COMUN, TOLLO PRIETO"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,RHIZOSOLENIACEAE,PSEUDOSOLENIA,calcar-avis,"TOLLO CON BANDAS, TOLLO BL"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,RHIZOSOLENIACEAE,RHIZOSOLENIA,styliformis,AGUJONA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,RHIZOSOLENIACEAE,RHIZOSOLENIA,setigera,PEZ AGUJA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,RHIZOSOLENIACEAE,RHIZOSOLENIA,robusta,A
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,RHIZOSOLENIACEAE,RHIZOSOLENIA,pungens,HAUCKII
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,RHIZOSOLENIACEAE,RHIZOSOLENIA,hyalina,ZOODIACUS
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,RHIZOSOLENIACEAE,RHIZOSOLENIA,imbricata,CORNUTA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,RHIZOSOLENIACEAE,RHIZOSOLENIA,hebetata,"PEJEGALLO, GATO, CHURRASC"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,RHIZOSOLENIACEAE,RHIZOSOLENIA,formosa,"TIBURON GATO, SU?O, DORMI"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,RHIZOSOLENIACEAE,RHIZOSOLENIA,chunii,"TIBURON DE SIETE AGALLAS, G"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,RHIZOSOLENIACEAE,RHIZOSOLENIA,castracanei,"BATANA, BATEA, RAYA CON ES"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,RHIZOSOLENIACEAE,RHIZOSOLENIA,bergonii,"TIBURON MARTILLO, CACHUDA"
,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,RHIZOSOLENIACEAE,RHIZOSOLENIA,acuminata,"TOLLO MANCHADO, TOLLO PIN"
,,,,,,,
